AgentId,Start,Seed,Floor,Reward,Steps,Time
7,0,68,2,2.2,1001,15322.2232917
13,0,69,1,1.0,801,15310.050076399999
42,0,8,1,1.2,801,15282.871617199999
19,0,28,2,2.2,1001,15302.7001585
35,0,96,1,1.1,801,15286.35448
34,0,62,2,2.6,1001,15290.8075294
5,0,30,1,1.0,801,15314.4707563
20,0,56,1,1.2,801,15299.091322299999
32,0,61,1,1.2,801,15285.2865711
26,0,28,2,2.2,1001,15289.0438645
43,0,87,1,1.1,801,15268.6244878
21,0,16,1,1.0,801,15290.346892
37,0,36,2,2.3,1001,15273.7636928
40,0,3,1,1.0,801,15269.860572
3,0,80,1,1.2,801,15307.004138799999
39,0,87,1,1.0,801,15268.272174299998
15,0,44,1,1.2,801,15291.647467199999
27,0,99,1,1.2,801,15278.993719099999
31,0,75,0,0.0,601,15272.6769238
8,0,21,2,2.4,1001,15295.431855199999
47,0,41,3,3.8,1201,15254.664728099999
18,0,88,1,1.1,801,15282.585492799999
4,0,0,2,2.5,1201,15295.231511099999
22,0,24,3,3.6,1301,15276.3806331
16,0,13,1,1.1,801,15280.269656999999
1,0,24,2,2.4,1001,15294.9217776
11,0,78,2,2.4,1101,15287.4276658
23,0,41,1,1.2,801,15274.669107299998
48,0,94,0,0.0,57,15241.547370499999
17,0,89,1,1.2,801,15271.773736899999
10,0,37,1,1.1,801,15277.7348905
9,0,17,2,2.6,1001,15276.2043535
48,0,31,2,2.4,1001,15237.1348098
45,0,23,1,1.1,801,15235.4342502
41,0,82,0,0.0,601,15237.1618958
6,0,35,0,0.0,601,15266.0147671
49,0,91,1,1.0,801,15222.3775531
12,0,79,1,1.1,801,15262.711174799999
30,0,63,2,2.6,1001,15239.4533148
25,0,15,2,2.3,1001,15245.737589299999
33,0,26,1,1.2,801,15233.8034427
0,0,42,1,1.0,801,15268.242650099999
44,0,22,1,1.2,801,15223.5220038
2,0,24,2,2.6,1001,15264.697266199999
14,0,90,0,0.0,601,15247.5885555
38,0,95,0,0.0,601,15222.433886
28,0,1,1,1.2,801,15230.4481585
13,0,93,3,3.7,1501,15245.338732799999
42,0,0,2,2.6,1101,15218.1505551
35,0,1,2,2.6,1001,15221.9699491
31,0,17,2,2.5,1001,15224.387395799999
5,0,44,1,1.2,801,15250.0394172
20,0,16,1,1.1,801,15234.659184299999
32,0,32,1,1.1,801,15220.8436823
24,0,27,2,2.4,1101,15225.4723791
43,0,65,2,2.2,1001,15204.081395199999
21,0,51,2,2.6,1001,15225.775826199999
40,0,36,0,0.0,601,15205.5286874
46,0,99,1,1.2,801,15198.5922744
7,0,55,2,2.4,1001,15240.5818236
3,0,22,1,1.2,801,15242.216255599998
39,0,32,0,0.0,601,15203.491911199999
15,0,27,1,1.2,801,15226.8787086
27,0,81,1,1.0,801,15214.223198
19,0,30,0,0.0,601,15221.441033199999
29,0,30,1,1.0,801,15210.353146899999
34,0,9,2,2.4,1001,15208.7391605
18,0,78,2,2.3,1101,15217.9082324
36,0,90,0,0.0,601,15198.785485499999
26,0,24,3,3.6,1301,15207.2585153
16,0,89,1,1.2,801,15215.6073435
37,0,65,2,2.4,1001,15192.169745399999
41,0,82,0,0.0,601,15187.5952537
23,0,42,1,1.0,801,15209.2820258
17,0,56,2,2.6,1001,15207.325811199998
6,0,33,2,2.2,1101,15216.7421691
8,0,35,0,0.0,601,15214.303014399999
10,0,56,0,0.0,601,15212.7635832
45,0,63,2,2.6,1001,15170.945514699999
1,0,93,1,1.2,801,15214.44364
14,0,46,1,1.0,801,15199.0182787
38,0,68,2,2.2,1001,15173.8731344
11,0,41,3,4.0,1201,15199.436914599999
49,0,65,1,1.2,801,15157.4123014
12,0,67,1,1.0,801,15197.7543396
47,0,57,1,1.2,801,15158.678516999998
9,0,19,2,2.6,1001,15195.650987899999
48,0,47,1,1.0,801,15156.574292599998
4,0,81,1,1.1,801,15199.054570499999
33,0,81,1,1.2,801,15168.433778800001
0,0,29,1,1.2,801,15202.846371599999
44,0,90,0,0.0,601,15157.2132117
40,0,81,1,1.2,801,15156.4706298
39,0,69,1,1.0,801,15155.0538846
22,0,54,1,1.0,801,15172.107985499999
28,0,71,1,1.0,801,15165.1898866
19,0,72,3,3.8,1201,15173.191392199999
5,0,72,1,1.2,801,15185.314841399999
20,0,27,1,1.2,801,15169.9069688
30,0,47,1,1.0,801,15157.379298
32,0,55,2,2.2,1001,15155.181091699998
36,0,66,2,2.3,1001,15150.3328857
25,0,86,1,1.2,801,15163.2847876
2,0,37,1,1.2,801,15182.9723248
41,0,62,2,2.6,1001,15140.0981954
46,0,50,2,2.2,1001,15133.8856753
3,0,47,1,1.0,801,15176.9298253
15,0,90,0,0.0,601,15161.803282699999
27,0,70,1,1.2,801,15149.191266799999
29,0,1,1,1.1,801,15146.329800099998
35,0,5,2,2.4,1001,15140.093272299999
31,0,97,2,2.4,1001,15142.476465599999
8,0,34,0,0.0,601,15165.247462899999
10,0,70,1,1.2,801,15163.7320083
42,0,52,2,2.4,1101,15128.9346355
16,0,37,1,1.1,801,15150.5495815
43,0,2,2,2.4,1001,15122.2889609
21,0,71,0,0.0,601,15144.006823799999
23,0,15,2,2.4,1001,15145.010445599999
7,0,62,0,0.0,601,15159.040803999998
24,0,46,1,1.2,801,15136.3521702
34,0,59,1,1.1,801,15129.0529378
44,0,37,1,1.0,801,15110.097517100001
1,0,31,2,2.3,1001,15150.5051897
37,0,39,1,1.2,801,15112.872390699999
14,0,49,1,1.1,801,15134.834961
18,0,60,1,1.2,801,15129.6136089
17,0,18,0,0.0,601,15127.339652999999
49,0,21,2,2.4,1001,15093.359444299998
